video_id,url,title,license,relevant,renamed_title,clip_start,clip_end,duration,wandb_clip
t9I3HrtYDIw,https://youtu.be/t9I3HrtYDIw,Humpback whale caught on tape,creativeCommon,False,video_0034.mp4,42,57,189.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51c490>
yuCictQtr4U,https://youtu.be/yuCictQtr4U,Humpback Whale showing big tail at Loreto National Park - Thore Noernberg Whale Watching,creativeCommon,False,video_0035.mp4,0,15,31.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51ccd0>
MKmF_n1CGbo,https://youtu.be/MKmF_n1CGbo,Humpback Whale Breach - Deep Sea Divers Den,creativeCommon,True,video_0036.mp4,8,23,44.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51c280>
FKhOwKXrW54,https://youtu.be/FKhOwKXrW54,Humpback Whales swimming close to boat showing tails - Thore Noernberg Whale Watching,creativeCommon,False,video_0037.mp4,1,16,65.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51cd30>
RSi98HImm5A,https://youtu.be/RSi98HImm5A,Humpback Whales Broome Western Australia 1,creativeCommon,True,video_0039.mp4,300,315,338.0,<wandb.sdk.data_types.video.Video object at 0x7fa6dcc41520>
fYTQplH44rY,https://youtu.be/fYTQplH44rY,Humpback whales feeding in  full force!,creativeCommon,True,video_0040.mp4,5,20,37.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51cfa0>
-lcMrem75B4,https://youtu.be/-lcMrem75B4,Humpback whales in Antarctica,creativeCommon,True,video_0041.mp4,20,35,48.0,<wandb.sdk.data_types.video.Video object at 0x7fa6dcc41e50>
mPx0yevy8qw,https://youtu.be/mPx0yevy8qw,Humpback Whale showing tail at Loreto N.P. - Thore Noernberg Whale Watching,creativeCommon,False,video_0042.mp4,5,20,45.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51c370>
VHtcfQk3C4Y,https://youtu.be/VHtcfQk3C4Y,Humpback Whale Feeding Calls,creativeCommon,False,video_0043.mp4,34,49,51.0,<wandb.sdk.data_types.video.Video object at 0x7fa6dccb5c70>
9D1Iy3ioadY,https://youtu.be/9D1Iy3ioadY,Humpback Whales,creativeCommon,True,video_0044.mp4,110,125,155.0,<wandb.sdk.data_types.video.Video object at 0x7fa6831ca340>
n02oMx6D_Bo,https://youtu.be/n02oMx6D_Bo,Humpback whale,creativeCommon,True,video_0046.mp4,0,13,13.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51c4c0>
CTL3nOIvTOo,https://youtu.be/CTL3nOIvTOo,Baby humpback whale breaches surface at the beach,creativeCommon,False,video_0047.mp4,34,49,194.0,<wandb.sdk.data_types.video.Video object at 0x7fa6dcc41e80>
_bi1_1IVdkw,https://youtu.be/_bi1_1IVdkw,"Water, Water Everywhere, Humpback Whale Photos",creativeCommon,True,video_0048.mp4,37,52,193.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51cc40>
dmEpKFWf3yY,https://youtu.be/dmEpKFWf3yY,Humpback Whales,creativeCommon,True,video_0049.mp4,470,485,557.0,<wandb.sdk.data_types.video.Video object at 0x7fa6dcc414f0>
akEyWO3gsAo,https://youtu.be/akEyWO3gsAo,Your Earth Is Blue: Tagging Humpback Whales,creativeCommon,True,video_0050.mp4,4,19,43.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51c760>
z7xLge1v2M8,https://youtu.be/z7xLge1v2M8,Humpback Whale breaching,creativeCommon,True,video_0051.mp4,0,4,4.0,<wandb.sdk.data_types.video.Video object at 0x7fa6dcc41fa0>
vlqKsRPUwok,https://youtu.be/vlqKsRPUwok,Drone Footage Shows Humpback Whales in Rare ‘Heat Run’ in Australian Waters,creativeCommon,True,video_0052.mp4,0,15,46.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518d30>
YcvX1TcD30M,https://youtu.be/YcvX1TcD30M,The Whisper - Close up Video of Mother and Calf Humpback Whale Painting,creativeCommon,False,video_0053.mp4,57,72,73.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518d60>
AGAkpoFd7bw,https://youtu.be/AGAkpoFd7bw,Pond5 Stock Footage - Humpback Whale Mother and Calf,creativeCommon,True,video_0054.mp4,0,15,15.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518cd0>
cuqAYDru0X0,https://youtu.be/cuqAYDru0X0,"Humpback whale breaching—Maui, Hawai&#39;i",creativeCommon,True,video_0055.mp4,20,35,42.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518ca0>
29JnGdXPpx4,https://youtu.be/29JnGdXPpx4,Humpback Whale with Juanes Music - Baja California - Thore Noernberg Whale Watching,creativeCommon,False,video_0057.mp4,16,31,53.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518e80>
AOF_BMnslF4,https://youtu.be/AOF_BMnslF4,"Three humpback whales heading north, cape solander, by drone",creativeCommon,True,video_0058.mp4,0,15,66.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518c70>
SDOq6WIwNDs,https://youtu.be/SDOq6WIwNDs,Ballenas Jorobadas (Humpback Whales),creativeCommon,True,video_0060.mp4,10,25,110.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518f10>
5PQTvJM4VS4,https://youtu.be/5PQTvJM4VS4,A humpback whale was found dead on a beach in southern France,creativeCommon,True,video_0061.mp4,0,15,56.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518e20>
taNLnQg_x5E,https://youtu.be/taNLnQg_x5E,😍 𝗕𝗲𝘀𝘁 𝗪𝗵𝗮𝗹𝗲 𝗪𝗮𝘁𝗰𝗵𝗶𝗻𝗴 𝗩𝗶𝗱𝗲𝗼  2⃝  😲 | Bʟᴜᴇ Wʜᴀʟᴇ Hᴜᴍᴘʙᴀᴄᴋ Wʜᴀʟᴇ | #Shorts,creativeCommon,True,video_0065.mp4,2,17,44.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518dc0>
Et8K0OvH5Ag,https://youtu.be/Et8K0OvH5Ag,SeaWorld rescues 1-year old humpback whale entangled in fishing gear,creativeCommon,True,video_0066.mp4,5,20,34.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518df0>
FztOHiGiFWI,https://youtu.be/FztOHiGiFWI,Humpback Whales,creativeCommon,True,video_0067.mp4,3,18,19.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518e50>
HdNpqor2Tso,https://youtu.be/HdNpqor2Tso,Feel the world of Majestic Humpback Whales &amp; Orca #Zoneblank,creativeCommon,True,video_0068.mp4,65,80,237.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518ee0>
oLioQPJVhr8,https://youtu.be/oLioQPJVhr8,Humpback Whale,creativeCommon,True,video_0070.mp4,15,30,140.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518340>
D1NxXVAMAV4,https://youtu.be/D1NxXVAMAV4,"Swimming with humpback whales@Vava&#39;u, Kingdom Of Tonga",creativeCommon,True,video_0071.mp4,29,44,529.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518eb0>
B6j09ZpIczM,https://youtu.be/B6j09ZpIczM,What are Whale Baleen Plates? | WHALEZONE.TV S2E4,creativeCommon,True,video_0072.mp4,40,55,172.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518070>
HTsKcwJcrwo,https://youtu.be/HTsKcwJcrwo,humpback whale watch,creativeCommon,True,video_0075.mp4,13,28,121.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518fa0>
WQt8ajXamRE,https://youtu.be/WQt8ajXamRE,Humpback Whales I Maui Sailing 2019,creativeCommon,True,video_0078.mp4,0,15,41.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518f40>
sxQnFwgn1kU,https://youtu.be/sxQnFwgn1kU,"Humpback Whale by drone 6k off Gordon&#39;s Bay, Sydney, August 24, 2020",creativeCommon,True,video_0079.mp4,5,20,185.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518c40>
M7rMGYqtSiA,https://youtu.be/M7rMGYqtSiA,"Humpback Whales Breaching in São Miguel, Azores Islands | TERRA AZUL™",creativeCommon,True,video_0080.mp4,15,30,99.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518f70>
3KRyiR2_yVQ,https://youtu.be/3KRyiR2_yVQ,Humpback whale off Fraser Island,creativeCommon,True,video_0083.mp4,62,77,77.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518fd0>
Q_rLSTxG8_4,https://youtu.be/Q_rLSTxG8_4,Humpback Whales Antarctica 2020,creativeCommon,True,video_0084.mp4,390,405,781.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518640>
xDodXg4sK-w,https://youtu.be/xDodXg4sK-w,Humpback Whales of Banderas Bay,creativeCommon,True,video_0085.mp4,60,75,114.0,<wandb.sdk.data_types.video.Video object at 0x7fa6dccba070>
Qz_RM0VKTvk,https://youtu.be/Qz_RM0VKTvk,Humpback Whale cruising &amp; sharing ocean w/Dolphins complimented by Relaxing &amp; Easy Listening Music,creativeCommon,True,video_0088.mp4,165,180,780.0,<wandb.sdk.data_types.video.Video object at 0x7fa6dccba280>
s5yq2SZcjHg,https://youtu.be/s5yq2SZcjHg,Humpback whale breaching the surface #Shorts,creativeCommon,True,video_0089.mp4,0,14,15.0,<wandb.sdk.data_types.video.Video object at 0x7fa6dcda4fd0>
nDqDnKiIC-U,https://youtu.be/nDqDnKiIC-U,"10 #Facts You Didn&#39;t Know About #Humpback #Whales, Alaska | Animal #Videos",creativeCommon,True,video_0090.mp4,306,321,642.0,<wandb.sdk.data_types.video.Video object at 0x7fa6dcda4f10>
DQvP01mQWjE,https://youtu.be/DQvP01mQWjE,Humpback Whale Watching off Hillarys Perth WA,creativeCommon,True,video_0091.mp4,85,100,372.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e5181c0>
3bwN4JPCfI0,https://youtu.be/3bwN4JPCfI0,Huge dead humpback whale washes up in California,creativeCommon,True,video_0092.mp4,0,15,74.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e5180a0>
LCNvpa0oqSA,https://youtu.be/LCNvpa0oqSA,"Humpback whale watching - Gold Coast, Queensland",creativeCommon,True,video_0094.mp4,40,55,275.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518d90>
fr2Auro8C0c,https://youtu.be/fr2Auro8C0c,Assassins Creed 4 Black Flag Catching a Humpback Whale,creativeCommon,False,video_0095.mp4,212,227,282.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518460>
RVUwblI7Rj0,https://youtu.be/RVUwblI7Rj0,Dolphins and Humpback Whales in Boston (360°),creativeCommon,True,video_0096.mp4,80,95,121.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518190>
DtyaNYoDezA,https://youtu.be/DtyaNYoDezA,Humpback Whale 2,creativeCommon,False,video_0098.mp4,7,22,31.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518040>
Pu2zz91MQDE,https://youtu.be/Pu2zz91MQDE,Baby Humpback Whale Trying To Fly,creativeCommon,True,video_0099.mp4,10,25,50.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e28cb80>
yVkjEWBdQWc,https://youtu.be/yVkjEWBdQWc,Ecotourism - Humpback Whales around Kerama Islands,creativeCommon,True,video_0100.mp4,45,60,86.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e518d00>
XX5fgMcm6-8,https://youtu.be/XX5fgMcm6-8,Most relaxing whale song! #Humpback,creativeCommon,True,video_0103.mp4,20,35,60.0,<wandb.sdk.data_types.video.Video object at 0x7fa6dccdf070>
D9mhRoIpgAc,https://youtu.be/D9mhRoIpgAc,Humpback Whales and Killer Whales Up in Alaska,creativeCommon,False,video_0105.mp4,1451,1466,2150.0,<wandb.sdk.data_types.video.Video object at 0x7fa6dccdf040>
NnaPPOuvMtM,https://youtu.be/NnaPPOuvMtM,Humpback whale washes ashore at Oceano Dunes interview with Mike Love,creativeCommon,True,video_0106.mp4,100,115,149.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51e070>
fRVxS4a5t6E,https://youtu.be/fRVxS4a5t6E,Sanctuaries Assist in Saving Humpback Whale,creativeCommon,True,video_0107.mp4,0,15,29.0,<wandb.sdk.data_types.video.Video object at 0x7fa6dccdf0a0>
fk9dswhB8A8,https://youtu.be/fk9dswhB8A8,Threats to Canada´s Humpbacks,creativeCommon,True,video_0108.mp4,25,40,171.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51e250>
TxwiLcF3_9w,https://youtu.be/TxwiLcF3_9w,"Humpback Whales (Farallon Islands, Marine Wildlife Refuge, San Francisco, California)",creativeCommon,True,video_0110.mp4,35,40,342.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51ef40>
u_0fEwRraUY,https://youtu.be/u_0fEwRraUY,DO YOU WANT TO SEE THE HUMPBACK WHALE//OCEAN REGION OF ALASKA IN AMERICA/WHALE TOURS,creativeCommon,True,video_0111.mp4,35,40,189.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51efa0>
zt-nmVdMAR4,https://youtu.be/zt-nmVdMAR4,"humpback whale over the first golf green, malabar, new south wales",creativeCommon,False,video_0112.mp4,0,15,15.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51e040>
OsnTCQmUkp0,https://youtu.be/OsnTCQmUkp0,Humpback Whales,creativeCommon,False,video_0113.mp4,18,33,35.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51efd0>
icKqRWZZcGA,https://youtu.be/icKqRWZZcGA,"humpback whale 1, Maui, Hawaii",creativeCommon,True,video_0116.mp4,120,135,233.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e51e0d0>
rfOi6VSfxnY,https://youtu.be/rfOi6VSfxnY,Kayaking With Humpback Whales on Maui Hawaii  - The Detourist Guide To Travel - Maui | Ep. 23,creativeCommon,False,video_0117.mp4,642,657,830.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e297340>
-eVUfYUuaAE,https://youtu.be/-eVUfYUuaAE,A baby humpback whale with its mother  -  Tadoussac whale watching 20210730,creativeCommon,True,video_0118.mp4,192,207,682.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e297640>
ugt-7VPhQ_E,https://youtu.be/ugt-7VPhQ_E,Humpback whales - Ballenas jorobadas (Megaptera novaeangliae) - Kaldfjord (Troms - Norway),creativeCommon,True,video_0119.mp4,50,65,203.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e297670>
XQYMQJ2qmF4,https://youtu.be/XQYMQJ2qmF4,Beautiful Humpback Whale Swimming and Playing in Clear Water - Animal Are Awesome,creativeCommon,True,video_0121.mp4,5,20,39.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e2976a0>
2GW084UvZUM,https://youtu.be/2GW084UvZUM,Humpback Whale Breaching in Slow Motion #shorts,creativeCommon,True,video_0122.mp4,0,13,13.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e2976d0>
DxLGc_kamm4,https://youtu.be/DxLGc_kamm4,"humpback whale 3, Maui, Hawaii",creativeCommon,True,video_0123.mp4,142,157,165.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e2973a0>
Hpnpj8wWsI0,https://youtu.be/Hpnpj8wWsI0,Volume up! The beautiful sound of a humpback   whale  #shorts,creativeCommon,True,video_0126.mp4,0,15,17.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e297730>
EybPdFgRaPg,https://youtu.be/EybPdFgRaPg,Great white (and tiger sharks) kills humpback whale and great white kills bull elephant seal,creativeCommon,False,video_0127.mp4,10,25,30.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e297400>
Gz2AaRJ07a4,https://youtu.be/Gz2AaRJ07a4,Beautiful Humpback Whales Dance | Blue Whale Game - Stay Away!!! | TourTripFun,creativeCommon,False,video_0128.mp4,28,43,133.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e297790>
zAaw8yoZZjs,https://youtu.be/zAaw8yoZZjs,"Humpback whales, seals and gulls (Farallon Islands, San Francisco, California)",creativeCommon,True,video_0129.mp4,295,310,320.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e2977c0>
sEbKnXa-Tdg,https://youtu.be/sEbKnXa-Tdg,Saving Humpback Whale from Entanglement,creativeCommon,True,video_0131.mp4,5,20,20.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e2977f0>
WMVezwtlbOc,https://youtu.be/WMVezwtlbOc,Humpback Whale breaching,creativeCommon,True,video_0132.mp4,0,4,4.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e297820>
bG83945zeJU,https://youtu.be/bG83945zeJU,Great whites kill healthy humpback whale,creativeCommon,False,video_0133.mp4,0,15,18.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e297850>
LajBrMPY1jU,https://youtu.be/LajBrMPY1jU,Blue Whale blowing 100 meter from the boat - Baja California - Thore Noernberg Whale Watching,creativeCommon,False,video_0134.mp4,18,33,36.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e297880>
gQUrquj3wDE,https://youtu.be/gQUrquj3wDE,Humpback whale visits New Jersey June 2015,creativeCommon,True,video_0135.mp4,10,25,110.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e2978b0>
sXzFjTuyYmI,https://youtu.be/sXzFjTuyYmI,Killer Whale &amp; Dolphin - Whale Jump Slow Motion Compilation 3 -Whale Attack 🐋 #shorts #sea #whale,creativeCommon,True,video_0136.mp4,15,26,33.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e2978e0>
G_pmA60mbIE,https://youtu.be/G_pmA60mbIE,HUMPBACK WHALES @ HERMANUS - SOUTH AFRICA (HD),creativeCommon,True,video_0137.mp4,0,15,46.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e297910>
GVlN9siQr-Q,https://youtu.be/GVlN9siQr-Q,Humpback Whales - Brier Island,creativeCommon,True,video_0138.mp4,40,55,70.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e297940>
Zg6jLSaEtCQ,https://youtu.be/Zg6jLSaEtCQ,"Humpback Whale by Drone Clovelly and Coogee beaches, Sydney, Australia, August 21, 2020",creativeCommon,True,video_0139.mp4,40,55,303.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e297970>
pD9fLSa5oH0,https://youtu.be/pD9fLSa5oH0,Newfoundland Humpback Whales,creativeCommon,True,video_0140.mp4,45,60,61.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e297b50>
slZq2kL9njk,https://youtu.be/slZq2kL9njk,Baleine à bosses (Megaptera novaeangliae) Humpback Whale,creativeCommon,True,video_0141.mp4,0,15,24.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e2979d0>
5lVC4PnHOoY,https://youtu.be/5lVC4PnHOoY,Republic of Dominica / Las terrenas / Carnaval / Humpback whale,creativeCommon,True,video_0142.mp4,28,34,99.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e297ac0>
5os2kYJSFmY,https://youtu.be/5os2kYJSFmY,Earth Is Blue: Collaboration at Hawaiian Islands Humpback Whale National Marine Sanctuary,creativeCommon,False,video_0143.mp4,201,216,230.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e297a30>
aip8zOb11E8,https://youtu.be/aip8zOb11E8,Humpback Whales in Maui 2013,creativeCommon,True,video_0144.mp4,120,135,1248.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e297b20>
cPXvyZZ0SdQ,https://youtu.be/cPXvyZZ0SdQ,Humpback Whale,creativeCommon,False,video_0145.mp4,0,7,7.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e297bb0>
aYxJOTAeE9A,https://youtu.be/aYxJOTAeE9A,&quot;Copyright free Sound-Effect&quot; Humpback Whale Call sound effect royalty free royalty free,creativeCommon,False,video_0146.mp4,0,7,7.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e297a00>
lzMeoPLPF9I,https://youtu.be/lzMeoPLPF9I,Whale watching off Cape Spear,creativeCommon,True,video_0147.mp4,4,19,30.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e297700>
1YmZMdF5bA8,https://youtu.be/1YmZMdF5bA8,Humpback Whale Cut Free from Marine Debris - Maui 02.19.14 (Part 1),creativeCommon,True,video_0148.mp4,0,15,23.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e297a60>
4JHqSAy6t9w,https://youtu.be/4JHqSAy6t9w,Humpback Whale showing tail at Bahia de La Paz - Thore Noernberg Whale Watching,creativeCommon,True,video_0150.mp4,0,12,13.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e2979a0>
TJ3X9Lh_3ZM,https://youtu.be/TJ3X9Lh_3ZM,PhD George Kostandi AC4 Black Flag Humpback Whale gamium 32,creativeCommon,False,video_0151.mp4,46,61,113.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e297760>
hBsFarHE1GQ,https://youtu.be/hBsFarHE1GQ,Why whales sing,creativeCommon,True,video_0152.mp4,0,15,90.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e297a90>
1dg3iPV-28o,https://youtu.be/1dg3iPV-28o,Humpback whales breach,creativeCommon,True,video_0153.mp4,0,15,88.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e297be0>
xutojQbnxfY,https://youtu.be/xutojQbnxfY,Gloucester HarborWalk #36 Humpback Whale Watching-Cape Ann Whale Watch Gloucester MA,creativeCommon,True,video_0154.mp4,5,20,142.0,<wandb.sdk.data_types.video.Video object at 0x7fa67e297c10>
